iter	Passed	Remaining
1470	42746	247849
1471	42777	247829
1472	42804	247788
1473	42832	247754
1474	42860	247717
1475	42890	247693
1476	42917	247656
1477	42947	247631
1478	42974	247592
1479	43003	247561
1480	43030	247516
1481	43057	247477
1482	43084	247436
1483	43111	247396
1484	43137	247351
1485	43165	247317
1486	43191	247267
1487	43219	247231
1488	43245	247189
1489	43273	247154
1490	43303	247130
1491	43330	247086
1492	43357	247046
1493	43385	247012
1494	43412	246974
1495	43439	246929
1496	43465	246885
1497	43490	246835
1498	43517	246792
1499	43546	246761
1500	43573	246721
1501	43602	246691
1502	43628	246649
1503	43656	246610
1504	43681	246561
1505	43709	246527
1506	43737	246492
1507	43765	246459
1508	43791	246411
1509	43816	246357
1510	43842	246314
1511	43869	246272
1512	43896	246234
1513	43923	246190
1514	43951	246155
1515	43980	246128
1516	44007	246090
1517	44035	246054
1518	44065	246030
1519	44094	246002
1520	44142	246076
1521	44172	246054
1522	44201	246024
1523	44229	245987
1524	44259	245969
1525	44288	245938
1526	44318	245911
1527	44347	245884
1528	44379	245871
1529	44415	245882
1530	44451	245890
1531	44484	245886
1532	44516	245871
1533	44547	245854
1534	44575	245819
1535	44604	245788
1536	44633	245760
1537	44663	245738
1538	44692	245705
1539	44718	245662
1540	44746	245625
1541	44773	245583
1542	44800	245545
1543	44827	245507
1544	44853	245458
1545	44880	245420
1546	44907	245377
1547	44933	245335
1548	44961	245300
1549	44988	245257
1550	45016	245223
1551	45045	245196
1552	45075	245169
1553	45103	245139
1554	45130	245098
1555	45158	245061
1556	45184	245020
1557	45212	244980
1558	45241	244955
1559	45270	244925
1560	45300	244901
1561	45328	244868
1562	45358	244843
1563	45388	244818
1564	45418	244793
1565	45449	244776
1566	45478	244746
1567	45506	244712
1568	45535	244683
1569	45562	244642
1570	45590	244609
1571	45619	244583
1572	45648	244549
1573	45677	244521
1574	45705	244488
1575	45733	244455
1576	45763	244431
1577	45791	244396
1578	45820	244366
1579	45851	244349
1580	45882	244328
1581	45908	244286
1582	45936	244249
1583	45963	244209
1584	45991	244176
1585	46018	244136
1586	46045	244093
1587	46072	244055
1588	46099	244018
1589	46127	243982
1590	46155	243949
1591	46181	243904
1592	46208	243865
1593	46238	243838
1594	46265	243802
1595	46294	243772
1596	46323	243743
1597	46349	243696
1598	46376	243659
1599	46403	243617
1600	46432	243589
1601	46461	243557
1602	46489	243528
1603	46518	243494
1604	46545	243457
1605	46573	243424
1606	46602	243396
1607	46635	243384
1608	46667	243374
1609	46699	243358
1610	46728	243329
1611	46757	243301
1612	46790	243292
1613	46818	243260
1614	46849	243241
1615	46876	243200
1616	46905	243170
1617	46935	243147
1618	46966	243128
1619	46995	243100
1620	47026	243080
1621	47057	243060
1622	47087	243040
1623	47117	243013
1624	47149	243001
1625	47181	242986
1626	47213	242974
1627	47243	242948
1628	47271	242914
1629	47301	242893
1630	47328	242851
1631	47355	242813
1632	47384	242783
1633	47415	242767
1634	47445	242739
1635	47474	242711
1636	47504	242687
1637	47535	242671
1638	47564	242637
1639	47593	242612
1640	47627	242604
1641	47656	242577
1642	47683	242540
1643	47715	242522
1644	47746	242506
1645	47778	242492
1646	47806	242458
1647	47836	242434
1648	47867	242413
1649	47899	242399
1650	47930	242383
1651	47959	242350
1652	47987	242319
1653	48017	242296
1654	48047	242270
1655	48080	242258
1656	48108	242227
1657	48138	242204
1658	48170	242189
1659	48199	242159
1660	48231	242145
1661	48261	242122
1662	48292	242102
