iter	RMSE
1309	7.741791224
1310	7.741667972
1311	7.741528682
1312	7.741379495
1313	7.741234842
1314	7.741122828
1315	7.741004519
1316	7.740890459
1317	7.740761209
1318	7.74064989
1319	7.740528721
1320	7.740370644
1321	7.740241319
1322	7.740131168
1323	7.739980674
1324	7.739834111
1325	7.739719672
1326	7.739597891
1327	7.739477518
1328	7.739304112
1329	7.739197729
1330	7.739101638
1331	7.738944191
1332	7.738809806
1333	7.738679465
1334	7.738567928
1335	7.738424505
1336	7.738274221
1337	7.738161946
1338	7.738005693
1339	7.737901647
1340	7.737749158
1341	7.737629186
1342	7.737498637
1343	7.737395952
1344	7.737243442
1345	7.737113458
1346	7.736950385
1347	7.736838515
1348	7.736692034
1349	7.736580927
1350	7.736435836
1351	7.736326102
1352	7.736212901
1353	7.736066707
1354	7.735946132
1355	7.735829464
1356	7.735716723
1357	7.735579144
1358	7.735451817
1359	7.735307067
1360	7.735184163
1361	7.735039312
1362	7.734933122
1363	7.734817971
1364	7.734728267
1365	7.734577112
1366	7.734450081
1367	7.734318638
1368	7.734179124
1369	7.734064514
1370	7.733919096
1371	7.733736418
1372	7.733593741
1373	7.733437245
1374	7.733309207
1375	7.73315831
1376	7.733010869
1377	7.73287938
1378	7.732769192
1379	7.732685141
1380	7.732548634
1381	7.732442636
1382	7.732317347
1383	7.732222282
1384	7.732070957
1385	7.73196484
1386	7.731842692
1387	7.731718388
1388	7.731569189
1389	7.731444466
1390	7.731310508
1391	7.731209475
1392	7.731084847
1393	7.730954931
1394	7.730821779
1395	7.730664162
1396	7.730519328
1397	7.730408547
1398	7.730289449
1399	7.730178706
1400	7.730047638
1401	7.729921549
1402	7.729830273
1403	7.729724075
1404	7.729591122
1405	7.729456503
1406	7.729335034
1407	7.729155527
1408	7.729017741
1409	7.728879453
1410	7.728738824
1411	7.728595069
1412	7.728475653
1413	7.728354291
1414	7.728245645
1415	7.728132442
1416	7.727997758
1417	7.727814988
1418	7.72766612
1419	7.727556787
1420	7.727410853
1421	7.727277423
1422	7.727116787
1423	7.727009275
1424	7.726888113
1425	7.726759996
1426	7.726653325
1427	7.72649996
1428	7.72633432
1429	7.72616744
1430	7.726079815
1431	7.725954363
1432	7.725819376
1433	7.725674576
1434	7.725536914
1435	7.725446806
1436	7.725308517
1437	7.725149573
1438	7.725020977
1439	7.724909526
1440	7.724774211
1441	7.724642131
1442	7.724524028
1443	7.724378397
1444	7.724213342
1445	7.724057436
1446	7.723928573
1447	7.723794034
1448	7.723678527
1449	7.723572286
1450	7.723425949
1451	7.723275582
1452	7.723146833
1453	7.72302287
1454	7.722824045
1455	7.722673947
1456	7.722540829
1457	7.72240548
1458	7.72227496
1459	7.722135227
1460	7.722013438
1461	7.721921491
1462	7.721795336
1463	7.721655775
1464	7.721560817
1465	7.721419522
1466	7.72129837
1467	7.7211622
1468	7.721007281
1469	7.720841417
1470	7.720718033
1471	7.72055532
1472	7.720445655
1473	7.72032564
1474	7.720218885
1475	7.720090896
1476	7.719987447
1477	7.719842658
1478	7.719692604
1479	7.719567828
1480	7.719460309
1481	7.719320702
1482	7.719140315
1483	7.718990295
1484	7.71883465
1485	7.718701006
1486	7.718583801
1487	7.718455456
1488	7.718342919
1489	7.718206312
1490	7.718056705
1491	7.717927785
1492	7.717781738
1493	7.71761278
1494	7.717489184
1495	7.717377483
1496	7.717243029
1497	7.717122135
1498	7.71698454
1499	7.716824313
1500	7.716703849
1501	7.716552032
1502	7.716411739
1503	7.716285218
1504	7.716165355
1505	7.715993817
1506	7.715833146
1507	7.715643199
1508	7.715524557
1509	7.715426103
1510	7.715310193
1511	7.71517296
1512	7.715033646
1513	7.714927408
1514	7.714785313
1515	7.714628569
1516	7.714466286
1517	7.714336929
1518	7.714211841
1519	7.714066669
1520	7.713933467
1521	7.713781175
1522	7.713645049
1523	7.713508891
1524	7.713405403
1525	7.713255421
1526	7.713129358
1527	7.712972337
1528	7.712822627
1529	7.712641913
1530	7.712516142
1531	7.712373055
1532	7.712188942
1533	7.712042434
1534	7.711926863
1535	7.711811845
1536	7.711642101
1537	7.711464849
1538	7.711356745
1539	7.711241598
1540	7.711119856
1541	7.71097816
1542	7.710829682
1543	7.710688116
1544	7.710585669
1545	7.710464535
1546	7.710362253
1547	7.71023409
1548	7.710075232
1549	7.709943846
1550	7.709796245
1551	7.709674722
1552	7.70952234
1553	7.709383773
1554	7.709273748
1555	7.709143781
1556	7.708992867
1557	7.708873816
1558	7.708723741
1559	7.708595372
1560	7.708456246
1561	7.708352456
1562	7.70822376
1563	7.708054298
1564	7.707884408
1565	7.707774352
1566	7.707670015
1567	7.707550489
1568	7.707412655
1569	7.707286463
1570	7.707125865
1571	7.706984763
1572	7.706863864
1573	7.706688221
1574	7.706547545
1575	7.706433445
1576	7.706277083
1577	7.706122196
1578	7.706012345
1579	7.705865356
1580	7.70572419
1581	7.705591848
1582	7.705463059
1583	7.705351117
1584	7.705193487
1585	7.70506544
1586	7.704944516
1587	7.704834046
1588	7.704707516
1589	7.704599332
1590	7.704474189
1591	7.704381188
1592	7.704258727
1593	7.704107085
1594	7.703977408
1595	7.703828745
1596	7.703684077
1597	7.703567525
1598	7.703396901
1599	7.703262437
1600	7.703114266
1601	7.702974998
1602	7.702858911
1603	7.702709045
1604	7.702580248
1605	7.702468969
1606	7.702330243
1607	7.702157545
1608	7.702025535
1609	7.701871245
1610	7.701731667
1611	7.701583468
1612	7.701427976
1613	7.701315945
1614	7.701158789
1615	7.701032096
1616	7.700891884
1617	7.70073487
1618	7.70058059
1619	7.700447901
1620	7.700286761
1621	7.700153016
1622	7.70004732
1623	7.699928202
1624	7.699798796
1625	7.699658663
1626	7.69955702
1627	7.699427342
1628	7.69932674
1629	7.699198781
1630	7.699092768
1631	7.698974262
1632	7.69882757
1633	7.698639823
1634	7.698518623
1635	7.698395464
1636	7.698241082
1637	7.698101661
1638	7.697989435
1639	7.697881818
1640	7.69773779
1641	7.697622836
1642	7.697523826
1643	7.697378269
1644	7.697214163
1645	7.697093487
1646	7.697007919
1647	7.696861545
1648	7.696743526
1649	7.696598748
1650	7.696447574
1651	7.696346427
1652	7.696244715
1653	7.6961121
1654	7.695978335
1655	7.69588529
1656	7.695781423
1657	7.695669805
1658	7.695512509
1659	7.695389515
1660	7.695234216
1661	7.695073229
